Gene	Synonym	ENSG	Description	expression
MAP7	E-MAP-115	ENSG00000135525	Microtubule associated protein 7	ElevBrain
MAP7D2	FLJ14503	ENSG00000184368	MAP7 domain containing 2	ElevBrain
MAP9	"ASAP, FLJ21159"	ENSG00000164114	Microtubule associated protein 9	ElevBrain
MAPK1	"ERK, ERK2, MAPK2, p41mapk, PRKM1, PRKM2"	ENSG00000100030	Mitogen-activated protein kinase 1	ElevBrain
MAPK10	"JNK3, p493F12, p54bSAPK, PRKM10"	ENSG00000109339	Mitogen-activated protein kinase 10	ElevBrain
MAPK15	"ERK7, ERK8"	ENSG00000181085	Mitogen-activated protein kinase 15	ElevBrain
MAPK4	"Erk3-related, Erk4, PRKM4"	ENSG00000141639	Mitogen-activated protein kinase 4	ElevBrain
MAPK8IP1	"IB1, JIP-1, JIP1, PRKM8IP"	ENSG00000121653	Mitogen-activated protein kinase 8 interacting protein 1	ElevBrain
MAPK8IP3	"JIP3, JSAP1, KIAA1066, syd"	ENSG00000138834	Mitogen-activated protein kinase 8 interacting protein 3	ElevBrain
MAPK9	"JNK2, p54a, PRKM9, SAPK"	ENSG00000050748	Mitogen-activated protein kinase 9	ElevBrain
MAPKBP1	KIAA0596	ENSG00000137802	Mitogen-activated protein kinase binding protein 1	ElevBrain
MAPRE2	"EB1, EB2, RP1"	ENSG00000166974	Microtubule associated protein RP/EB family member 2	ElevBrain
MAPRE3	"EB3, RP3"	ENSG00000084764	Microtubule associated protein RP/EB family member 3	ElevBrain
MARCH1	"FLJ20668, MARCH-I, RNF171"	ENSG00000145416	Membrane associated ring-CH-type finger 1	ElevBrain
MARCH4	"KIAA1399, MARCH-IV, RNF174"	ENSG00000144583	Membrane associated ring-CH-type finger 4	ElevBrain
MARCKSL1	"F52, MacMARCKS, MLP, MLP1"	ENSG00000175130	MARCKS like 1	ElevBrain
MAS1		ENSG00000130368	"MAS1 proto-oncogene, G protein-coupled receptor"	ElevBrain
MAST3	KIAA0561	ENSG00000099308	Microtubule associated serine/threonine kinase 3	ElevBrain
MATK	"CHK, CTK, DKFZp434N1212, HHYLTK, HYL, HYLTK, Lsk, MGC1708, MGC2101"	ENSG00000007264	Megakaryocyte-associated tyrosine kinase	ElevBrain
MC4R		ENSG00000166603	Melanocortin 4 receptor	ElevBrain
MCF2	"ARHGEF21, DBL"	ENSG00000101977	MCF.2 cell line derived transforming sequence	ElevBrain
MCF2L	"ARHGEF14, DBS, KIAA0362, OST"	ENSG00000126217	MCF.2 cell line derived transforming sequence like	ElevBrain
MCF2L2	"ARHGEF22, KIAA0861"	ENSG00000053524	MCF.2 cell line derived transforming sequence-like 2	ElevBrain
MCHR1	"GPR24, MCH1R, SLC1"	ENSG00000128285	Melanin concentrating hormone receptor 1	ElevBrain
MCTP1	FLJ22344	ENSG00000175471	Multiple C2 and transmembrane domain containing 1	ElevBrain
MED12L	"KIAA1635, TNRC11L, TRALP, TRALPUSH"	ENSG00000144893	Mediator complex subunit 12 like	ElevBrain
MEGF10	KIAA1780	ENSG00000145794	Multiple EGF like domains 10	ElevBrain
MEIS3	"DKFZp547H236, MRG2"	ENSG00000105419	Meis homeobox 3	ElevBrain
METRN	"C16orf23, MGC2601"	ENSG00000103260	"Meteorin, glial cell differentiation regulator"	ElevBrain
MFSD2B		ENSG00000205639	Major facilitator superfamily domain containing 2B	ElevBrain
MFSD4A	"DKFZp761N1114, FLJ25004, FLJ34577, MFSD4, UNQ3064"	ENSG00000174514	Major facilitator superfamily domain containing 4A	ElevBrain
MGAT3	GNT-III	ENSG00000128268	"Mannosyl (beta-1,4-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase"	ElevBrain
MICU3	"DKFZp313A0139, EFHA2"	ENSG00000155970	Mitochondrial calcium uptake family member 3	ElevBrain
MID1IP1	"FLJ10386, G12-like, MIG12, STRAIT11499, THRSPL"	ENSG00000165175	MID1 interacting protein 1	ElevBrain
MINDY4B	"C3orf76, FAM188B2"	ENSG00000214237	MINDY family member 4B	ElevBrain
MKRN2OS	"C3orf83, MKRN2-AS1"	ENSG00000225526	MKRN2 opposite strand	ElevBrain
MKRN3	"D15S9, MGC88288, RNF63, ZFP127, ZNF127"	ENSG00000179455	Makorin ring finger protein 3	ElevBrain
MLC1	"KIAA0027, LVM, MLC, VL"	ENSG00000100427	Megalencephalic leukoencephalopathy with subcortical cysts 1	ElevBrain
MLLT11	AF1Q	ENSG00000213190	"MLLT11, transcription factor 7 cofactor"	ElevBrain
MMD	"MMA, PAQR11"	ENSG00000108960	Monocyte to macrophage differentiation associated	ElevBrain
MMP16	"C8orf57, DKFZp761D112, MT3-MMP"	ENSG00000156103	Matrix metallopeptidase 16	ElevBrain
MMP17	MT4-MMP	ENSG00000198598	Matrix metallopeptidase 17	ElevBrain
MNS1	"FLJ11222, SPATA40"	ENSG00000138587	Meiosis specific nuclear structural 1	ElevBrain
MOAP1	"MAP-1, PNMA4"	ENSG00000165943	Modulator of apoptosis 1	ElevBrain
MOB3B	"C9orf35, FLJ13204, MOB1D, MOBKL2B"	ENSG00000120162	MOB kinase activator 3B	ElevBrain
MPP2	"DKFZp761D0712, DLG2"	ENSG00000108852	Membrane palmitoylated protein 2	ElevBrain
MPP3	DLG3	ENSG00000161647	Membrane palmitoylated protein 3	ElevBrain
MPZ	"CMT1, CMT1B, CMT2I, CMT2J, HMSNIB"	ENSG00000158887	Myelin protein zero	ElevBrain
MRAP2	"bA51G5.2, C6orf117"	ENSG00000135324	Melanocortin 2 receptor accessory protein 2	ElevBrain
MRLN	"Linc-RAM, LINC00948, M1, MLN, MUSER1"	ENSG00000227877	Myoregulin	ElevBrain
MRO	"B29, C18orf3, FLJ30140"	ENSG00000134042	Maestro	ElevBrain
MSANTD1	"C4orf44, LOC345222"	ENSG00000188981	Myb/SANT DNA binding domain containing 1	ElevBrain
MSGN1	pMesogenin1	ENSG00000151379	Mesogenin 1	ElevBrain
MSLNL	"C16orf37, MPFL"	ENSG00000162006	Mesothelin-like	ElevBrain
MSMP	"PC-3, PSMP"	ENSG00000215183	"Microseminoprotein, prostate associated"	ElevBrain
MSRA		ENSG00000175806	Methionine sulfoxide reductase A	ElevBrain
MT1M	"MT1, MT1K"	ENSG00000205364	Metallothionein 1M	ElevBrain
MTMR10	FLJ20313	ENSG00000166912	Myotubularin related protein 10	ElevBrain
MTMR7		ENSG00000003987	Myotubularin related protein 7	ElevBrain
MTNR1A	MEL-1A-R	ENSG00000168412	Melatonin receptor 1A	ElevBrain
MTNR1B		ENSG00000134640	Melatonin receptor 1B	ElevBrain
MTSS1L	"ABBA, ABBA-1, LOC92154"	ENSG00000132613	"MTSS1L, I-BAR domain containing"	ElevBrain
MVB12B	"C9orf28, FAM125B, FLJ00001"	ENSG00000196814	Multivesicular body subunit 12B	ElevBrain
MYH15	KIAA1000	ENSG00000144821	Myosin heavy chain 15	ElevBrain
MYMK	"TMEM226, TMEM8C"	ENSG00000187616	"Myomaker, myoblast fusion factor"	ElevBrain
MYO16	"KIAA0865, Myo16b, MYR8, NYAP3, PPP1R107"	ENSG00000041515	Myosin XVI	ElevBrain
MYO5A	"GS1, MYH12, MYO5, MYR12"	ENSG00000197535	Myosin VA	ElevBrain
MYRF	"C11orf9, MRF, Ndt80, pqn-47"	ENSG00000124920	Myelin regulatory factor	ElevBrain
MYRIP	"DKFZp586F1018, exophilin-8, MyRIP, SLAC2-C, SLAC2C"	ENSG00000170011	Myosin VIIA and Rab interacting protein	ElevBrain
MZT1	"C13orf37, FLJ21869, LOC440145, MGC150539, MOZART1, RP11-11C5.2"	ENSG00000204899	Mitotic spindle organizing protein 1	ElevBrain
NACAD	KIAA0363	ENSG00000136274	NAC alpha domain containing	ElevBrain
NALCN	"bA430M15.1, CanIon, VGCNL1"	ENSG00000102452	"Sodium leak channel, non-selective"	ElevBrain
NANOS3	"NANOS1L, NOS3, ZC2HC12C"	ENSG00000187556	Nanos C2HC-type zinc finger 3	ElevBrain
NAP1L3	"MB20, MGC26312, NPL3"	ENSG00000186310	Nucleosome assembly protein 1 like 3	ElevBrain
NAP1L5	DRLM	ENSG00000177432	Nucleosome assembly protein 1 like 5	ElevBrain
NAPG		ENSG00000134265	NSF attachment protein gamma	ElevBrain
NAT16	"C7orf52, FLJ39237"	ENSG00000167011	N-acetyltransferase 16 (putative)	ElevBrain
NAV3	"KIAA0938, POMFIL1"	ENSG00000067798	Neuron navigator 3	ElevBrain
NCALD		ENSG00000104490	Neurocalcin delta	ElevBrain
NCAM1	"CD56, NCAM"	ENSG00000149294	Neural cell adhesion molecule 1	ElevBrain
NCAM2	"MGC51008, NCAM21"	ENSG00000154654	Neural cell adhesion molecule 2	ElevBrain
NCEH1	"AADACL1, KIAA1363, NCEH"	ENSG00000144959	Neutral cholesterol ester hydrolase 1	ElevBrain
NCR3LG1	"B7-H6, DKFZp686O24166"	ENSG00000188211	Natural killer cell cytotoxicity receptor 3 ligand 1	ElevBrain
NCS1	"FREQ, NCS-1"	ENSG00000107130	Neuronal calcium sensor 1	ElevBrain
NDRG3		ENSG00000101079	NDRG family member 3	ElevBrain
NDST3	HSST3	ENSG00000164100	N-deacetylase and N-sulfotransferase 3	ElevBrain
NECAP1	DKFZP566B183	ENSG00000089818	NECAP endocytosis associated 1	ElevBrain
NEGR1	"IGLON4, KILON, MGC46680, Ntra"	ENSG00000172260	Neuronal growth regulator 1	ElevBrain
NEK5		ENSG00000197168	NIMA related kinase 5	ElevBrain
NELL1	"FLJ45906, IDH3GL"	ENSG00000165973	Neural EGFL like 1	ElevBrain
NELL2	NRP2	ENSG00000184613	Neural EGFL like 2	ElevBrain
NETO2	"FLJ10430, NEOT2"	ENSG00000171208	Neuropilin and tolloid like 2	ElevBrain
NEUROG2	"Atoh4, bHLHa8, Math4A, ngn-2, NGN2"	ENSG00000178403	Neurogenin 2	ElevBrain
NEUROG3	"Atoh5, bHLHa7, Math4B, ngn3"	ENSG00000122859	Neurogenin 3	ElevBrain
NEXMIF	"KIAA2022, KIDLIA, MRX98, XPN"	ENSG00000050030	Neurite extension and migration factor	ElevBrain
NFASC	"FLJ46866, KIAA0756, NF, NRCAML"	ENSG00000163531	Neurofascin	ElevBrain
NGB		ENSG00000165553	Neuroglobin	ElevBrain
NGEF	ARHGEF27	ENSG00000066248	Neuronal guanine nucleotide exchange factor	ElevBrain
NHSL2		ENSG00000204131	NHS like 2	ElevBrain
NINJ2		ENSG00000171840	Ninjurin 2	ElevBrain
NIPA1	"MGC35570, SLC57A1, SPG6"	ENSG00000170113	Non imprinted in Prader-Willi/Angelman syndrome 1	ElevBrain
NIPAL3	"DJ462O23.2, NPAL3"	ENSG00000001461	NIPA like domain containing 3	ElevBrain
NIPAL4	ICHYN	ENSG00000172548	NIPA like domain containing 4	ElevBrain
NKAIN1	"FAM77C, FLJ12650"	ENSG00000084628	Sodium/potassium transporting ATPase interacting 1	ElevBrain
NKAIN3	"FAM77D, FLJ39630"	ENSG00000185942	Sodium/potassium transporting ATPase interacting 3	ElevBrain
NKRF	"ITBA4, NRF"	ENSG00000186416	NFKB repressing factor	ElevBrain
NKX1-2	"bB238F13.2, C10orf121"	ENSG00000229544	NK1 homeobox 2	ElevBrain
NKX2-2	"NKX2.2, NKX2B"	ENSG00000125820	NK2 homeobox 2	ElevBrain
NKX2-4	"NKX2.4, NKX2D"	ENSG00000125816	NK2 homeobox 4	ElevBrain
NKX2-8	"Nkx2-9, NKX2.8, NKX2H"	ENSG00000136327	NK2 homeobox 8	ElevBrain
NLGN1	KIAA1070	ENSG00000169760	Neuroligin 1	ElevBrain
NLGN2	KIAA1366	ENSG00000169992	Neuroligin 2	ElevBrain
NLGN3	"ASPGX1, AUTSX1, HNL3, KIAA1480"	ENSG00000196338	Neuroligin 3	ElevBrain
NLGN4Y	KIAA0951	ENSG00000165246	"Neuroligin 4, Y-linked"	ElevBrain
NMNAT2	"C1orf15, KIAA0479, PNAT2"	ENSG00000157064	Nicotinamide nucleotide adenylyltransferase 2	ElevBrain
NMUR2	NMU2R	ENSG00000132911	Neuromedin U receptor 2	ElevBrain
NODAL		ENSG00000156574	Nodal growth differentiation factor	ElevBrain
NOS1AP	"CAPON, KIAA0464"	ENSG00000198929	Nitric oxide synthase 1 adaptor protein	ElevBrain
NOVA1		ENSG00000139910	NOVA alternative splicing regulator 1	ElevBrain
NOVA2	"ANOVA, NOVA3"	ENSG00000104967	NOVA alternative splicing regulator 2	ElevBrain
NOXO1	"P41NOXA, P41NOXB, P41NOXC, SH3PXD5, SNX28"	ENSG00000196408	NADPH oxidase organizer 1	ElevBrain
NPAS1	"bHLHe11, MOP5, PASD5"	ENSG00000130751	Neuronal PAS domain protein 1	ElevBrain
NPAS3	"bHLHe12, MOP6, PASD6"	ENSG00000151322	Neuronal PAS domain protein 3	ElevBrain
NPB	"PPL7, PPNPB"	ENSG00000183979	Neuropeptide B	ElevBrain
NPBWR1	GPR7	ENSG00000183729	Neuropeptides B and W receptor 1	ElevBrain
NPC1	SLC65A1	ENSG00000141458	NPC intracellular cholesterol transporter 1	ElevBrain
NPIPA1	"morpheus, NPIP"	ENSG00000183426	Nuclear pore complex interacting protein family member A1	ElevBrain
NPIPA2		ENSG00000254852	Nuclear pore complex interacting protein family member A2	ElevBrain
NPIPA3		ENSG00000224712	Nuclear pore complex interacting protein family member A3	ElevBrain
NPIPA5		ENSG00000183793	Nuclear pore complex interacting protein family member A5	ElevBrain
NPIPA8	LCR16a9	ENSG00000214940	Nuclear pore complex interacting protein family member A8	ElevBrain
NPM2		ENSG00000158806	Nucleophosmin/nucleoplasmin 2	ElevBrain
NPR2	"AMDM, ANPb, ANPRB, GUCY2B, NPRB"	ENSG00000159899	Natriuretic peptide receptor 2	ElevBrain
NPS		ENSG00000214285	Neuropeptide S	ElevBrain
NPSR1	"GPR154, GPRA, PGR14"	ENSG00000187258	Neuropeptide S receptor 1	ElevBrain
NPY2R		ENSG00000185149	Neuropeptide Y receptor Y2	ElevBrain
NPY5R	NPYR5	ENSG00000164129	Neuropeptide Y receptor Y5	ElevBrain
NRBP2	DKFZp434P086	ENSG00000185189	Nuclear receptor binding protein 2	ElevBrain
NRCAM	"Bravo, KIAA0343"	ENSG00000091129	Neuronal cell adhesion molecule	ElevBrain
NREP	"C5orf13, D4S114, P311, PRO1873, PTZ17, SEZ17"	ENSG00000134986	Neuronal regeneration related protein	ElevBrain
NRG1	"GGF, HGL, HRG, NDF, NRG1-IT2"	ENSG00000157168	Neuregulin 1	ElevBrain
NRG2	"Don-1, HRG2, NTAK"	ENSG00000158458	Neuregulin 2	ElevBrain
NRG3		ENSG00000185737	Neuregulin 3	ElevBrain
NRN1	NRN	ENSG00000124785	Neuritin 1	ElevBrain
NRSN2	"C20orf98, dJ1103G7.6"	ENSG00000125841	Neurensin 2	ElevBrain
NRXN3	"C14orf60, KIAA0743"	ENSG00000021645	Neurexin 3	ElevBrain
NSF	"SEC18, SKD2"	ENSG00000073969	"N-ethylmaleimide sensitive factor, vesicle fusing ATPase"	ElevBrain
NSG1	"D4S234E, NEEP21, P21"	ENSG00000168824	Neuronal vesicle trafficking associated 1	ElevBrain
NTF3	NGF2	ENSG00000185652	Neurotrophin 3	ElevBrain
NTM	"CEPU-1, HNT, IGLON2, NTRI"	ENSG00000182667	Neurotrimin	ElevBrain
NTN3	NTN2L	ENSG00000162068	Netrin 3	ElevBrain
NTNG1	"KIAA0976, Lmnt1"	ENSG00000162631	Netrin G1	ElevBrain
NTNG2	"KIAA1857, Lmnt2, NTNG1"	ENSG00000196358	Netrin G2	ElevBrain
NTRK2	TRKB	ENSG00000148053	Neurotrophic receptor tyrosine kinase 2	ElevBrain
NTRK3	TRKC	ENSG00000140538	Neurotrophic receptor tyrosine kinase 3	ElevBrain
NTSR1	NTR	ENSG00000101188	Neurotensin receptor 1	ElevBrain
NUAK1	"ARK5, KIAA0537, NuaK1"	ENSG00000074590	NUAK family kinase 1	ElevBrain
NUDT11	"DIPP3b, FLJ10628, hDIPP3beta"	ENSG00000196368	Nudix hydrolase 11	ElevBrain
NWD1		ENSG00000188039	NACHT and WD repeat domain containing 1	ElevBrain
NWD2	KIAA1239	ENSG00000174145	NACHT and WD repeat domain containing 2	ElevBrain
NXPH4	NPH4	ENSG00000182379	Neurexophilin 4	ElevBrain
NYAP1	"C7orf51, FLJ37538, KIAA1486L"	ENSG00000166924	Neuronal tyrosine phosphorylated phosphoinositide-3-kinase adaptor 1	ElevBrain
OC90	PLA2L	ENSG00000253117	Otoconin 90	ElevBrain
OCM	OCM1	ENSG00000122543	Oncomodulin	ElevBrain
OGFRL1	dJ331H24.1	ENSG00000119900	Opioid growth factor receptor like 1	ElevBrain
OLFM2	"NOE2, OlfC"	ENSG00000105088	Olfactomedin 2	ElevBrain
OLIG3	"Bhlhb7, bHLHe20"	ENSG00000177468	Oligodendrocyte transcription factor 3	ElevBrain
OLR1	"CLEC8A, LOX-1, SCARE1"	ENSG00000173391	Oxidized low density lipoprotein receptor 1	ElevBrain
ONECUT2	OC-2	ENSG00000119547	One cut homeobox 2	ElevBrain
OPRD1		ENSG00000116329	Opioid receptor delta 1	ElevBrain
OPRK1	"KOR, OPRK"	ENSG00000082556	Opioid receptor kappa 1	ElevBrain
OPRL1	"KOR-3, NOCIR, NOPr, OOR, ORL1"	ENSG00000125510	Opioid related nociceptin receptor 1	ElevBrain
OR13J1		ENSG00000168828	Olfactory receptor family 13 subfamily J member 1	ElevBrain
OR2K2	"HSHTPCRH06, HTPCRH06, OR2AR1P"	ENSG00000171133	Olfactory receptor family 2 subfamily K member 2	ElevBrain
OR2L13	OR2L14	ENSG00000196071	Olfactory receptor family 2 subfamily L member 13	ElevBrain
OR2L2	"HSHTPCRH07, HTPCRH07, OR2L12, OR2L4P"	ENSG00000203663	Olfactory receptor family 2 subfamily L member 2	ElevBrain
OR2T4	OR2T4Q	ENSG00000196944	Olfactory receptor family 2 subfamily T member 4	ElevBrain
OR51Q1		ENSG00000167360	Olfactory receptor family 51 subfamily Q member 1 (gene/pseudogene)	ElevBrain
OR5J2		ENSG00000174957	Olfactory receptor family 5 subfamily J member 2	ElevBrain
OR7A5	HTPCR2	ENSG00000188269	Olfactory receptor family 7 subfamily A member 5	ElevBrain
OR7C1	"OR19-5, OR7C4"	ENSG00000127530	Olfactory receptor family 7 subfamily C member 1	ElevBrain
OSTN		ENSG00000188729	Osteocrin	ElevBrain
OTOR	"FDP, MIAL, MIAL1"	ENSG00000125879	Otoraplin	ElevBrain
OTUD7A	"C15orf16, CEZANNE2, OTUD7"	ENSG00000169918	OTU deubiquitinase 7A	ElevBrain
P2RX7	"MGC20089, P2X7"	ENSG00000089041	Purinergic receptor P2X 7	ElevBrain
P2RY1	"P2Y1, SARCC"	ENSG00000169860	Purinergic receptor P2Y1	ElevBrain
P2RY12	"HORK3, P2Y12, SP1999"	ENSG00000169313	Purinergic receptor P2Y12	ElevBrain
PABPC1L2A	RBM32A	ENSG00000186288	Poly(A) binding protein cytoplasmic 1 like 2A	ElevBrain
PABPN1L	ePABP2	ENSG00000205022	"Poly(A) binding protein nuclear 1 like, cytoplasmic"	ElevBrain
PACS2	"KIAA0602, PACS1L"	ENSG00000179364	Phosphofurin acidic cluster sorting protein 2	ElevBrain
PADI2	"KIAA0994, PDI2"	ENSG00000117115	Peptidyl arginine deiminase 2	ElevBrain
PAIP2B	KIAA1155	ENSG00000124374	Poly(A) binding protein interacting protein 2B	ElevBrain
PAK1		ENSG00000149269	P21 (RAC1) activated kinase 1	ElevBrain
PALM	KIAA0270	ENSG00000099864	Paralemmin	ElevBrain
PALM2		ENSG00000243444	Paralemmin 2	ElevBrain
PANX2	"hPANX2, PX2"	ENSG00000073150	Pannexin 2	ElevBrain
PANX3	Px3	ENSG00000154143	Pannexin 3	ElevBrain
PAQR4	FLJ30002	ENSG00000162073	Progestin and adipoQ receptor family member 4	ElevBrain
PAQR8	"C6orf33, LMPB1, MPRB"	ENSG00000170915	Progestin and adipoQ receptor family member 8	ElevBrain
PAQR9	FLJ41938	ENSG00000188582	Progestin and adipoQ receptor family member 9	ElevBrain
PARD6A	"PAR-6, PAR-6A, PAR6alpha, TAX40, TIP-40"	ENSG00000102981	Par-6 family cell polarity regulator alpha	ElevBrain
PASK	"KIAA0135, PASKIN, STK37"	ENSG00000115687	PAS domain containing serine/threonine kinase	ElevBrain
PATJ	"Cipp, INADL"	ENSG00000132849	"PATJ, crumbs cell polarity complex component"	ElevBrain
PAX3	"HUP2, WS1"	ENSG00000135903	Paired box 3	ElevBrain
PAX6	"AN, AN2, D11S812E, WAGR"	ENSG00000007372	Paired box 6	ElevBrain
PBOV1	"UC28, UROC28"	ENSG00000254440	Prostate and breast cancer overexpressed 1	ElevBrain
PCBP3	"FLJ44028, PCBP3-OT1, PCBP3OT"	ENSG00000183570	Poly(rC) binding protein 3	ElevBrain
PCDH10	"KIAA1400, OL-PCDH"	ENSG00000138650	Protocadherin 10	ElevBrain
PCDH11Y	"PCDH22, PCDHY"	ENSG00000099715	Protocadherin 11 Y-linked	ElevBrain
PCDH17	"PCDH68, PCH68"	ENSG00000118946	Protocadherin 17	ElevBrain
PCDH20	"FLJ22218, PCDH13"	ENSG00000280165	Protocadherin 20	ElevBrain
PCDHA1		ENSG00000204970	Protocadherin alpha 1	ElevBrain
PCDHA10	"CNR8, CNRN8, CNRS8, CRNR8, PCDH-ALPHA10"	ENSG00000250120	Protocadherin alpha 10	ElevBrain
PCDHA11	"CNR7, CNRN7, CNRS7, CRNR7, PCDH-ALPHA11"	ENSG00000249158	Protocadherin alpha 11	ElevBrain
PCDHA12	PCDH-ALPHA12	ENSG00000251664	Protocadherin alpha 12	ElevBrain
PCDHA13	"CNR5, CNRN5, CNRS5, CRNR5, PCDH-ALPHA13"	ENSG00000239389	Protocadherin alpha 13	ElevBrain
PCDHA2		ENSG00000204969	Protocadherin alpha 2	ElevBrain
PCDHA3	PCDH-ALPHA3	ENSG00000255408	Protocadherin alpha 3	ElevBrain
PCDHA4	"CNR1, CNRN1, CRNR1, PCDH-ALPHA4"	ENSG00000204967	Protocadherin alpha 4	ElevBrain
PCDHA6	"CNR2, CNRS2, CRNR2, PCDH-ALPHA6"	ENSG00000081842	Protocadherin alpha 6	ElevBrain
PCDHA8		ENSG00000204962	Protocadherin alpha 8	ElevBrain
PCDHB9	"PCDH-BETA9, PCDH3H"	ENSG00000177839	Protocadherin beta 9	ElevBrain
PCDHGA1	PCDH-GAMMA-A1	ENSG00000204956	"Protocadherin gamma subfamily A, 1"	ElevBrain
PCDHGA11	PCDH-GAMMA-A11	ENSG00000253873	"Protocadherin gamma subfamily A, 11"	ElevBrain
PCDHGA12	"CDH21, FIB3, KIAA0588, PCDH-GAMMA-A12"	ENSG00000253159	"Protocadherin gamma subfamily A, 12"	ElevBrain
PCDHGA5	"CDH-GAMMA-A5, ME3, PCDH-GAMMA-A5"	ENSG00000253485	"Protocadherin gamma subfamily A, 5"	ElevBrain
PCDHGA6	PCDH-GAMMA-A6	ENSG00000253731	"Protocadherin gamma subfamily A, 6"	ElevBrain
PCDHGA7	PCDH-GAMMA-A7	ENSG00000253537	"Protocadherin gamma subfamily A, 7"	ElevBrain
PCDHGB6	PCDH-GAMMA-B6	ENSG00000253305	"Protocadherin gamma subfamily B, 6"	ElevBrain
PCDHGC3	"PC-43, PC43, PCDH-GAMMA-C3, PCDH2"	ENSG00000240184	"Protocadherin gamma subfamily C, 3"	ElevBrain
PCLO	"ACZ, DKFZp779G1236, KIAA0559"	ENSG00000186472	Piccolo presynaptic cytomatrix protein	ElevBrain
PCNX2	"FLJ11383, KIAA0435, PCNXL2"	ENSG00000135749	Pecanex homolog 2	ElevBrain
PCP4	PEP-19	ENSG00000183036	Purkinje cell protein 4	ElevBrain
PCP4L1	IQM1	ENSG00000248485	Purkinje cell protein 4 like 1	ElevBrain
PCSK1	"NEC1, PC1, PC3, SPC3"	ENSG00000175426	Proprotein convertase subtilisin/kexin type 1	ElevBrain
PCSK1N	"BigLEN, PEN, proSAAS, SAAS, SCG8, SgVIII"	ENSG00000102109	Proprotein convertase subtilisin/kexin type 1 inhibitor	ElevBrain
PCSK6	"PACE4, SPC4"	ENSG00000140479	Proprotein convertase subtilisin/kexin type 6	ElevBrain
PCYT1B	"CCT-beta, CTB"	ENSG00000102230	"Phosphate cytidylyltransferase 1, choline, beta"	ElevBrain
PDE10A		ENSG00000112541	Phosphodiesterase 10A	ElevBrain
PDE1A		ENSG00000115252	Phosphodiesterase 1A	ElevBrain
PDE2A		ENSG00000186642	Phosphodiesterase 2A	ElevBrain
PDE4A	DPDE2	ENSG00000065989	Phosphodiesterase 4A	ElevBrain
PDE6B	"CSNB3, CSNBAD2, PDEB, rd1, RP40"	ENSG00000133256	Phosphodiesterase 6B	ElevBrain
PDP1	"PDH, PDP, PPM2A, PPM2C"	ENSG00000164951	Pyruvate dehyrogenase phosphatase catalytic subunit 1	ElevBrain
PDXP	"CIN, dJ37E16.5, FLJ32703"	ENSG00000241360	Pyridoxal phosphatase	ElevBrain
PDZD2	"KIAA0300, PDZK3"	ENSG00000133401	PDZ domain containing 2	ElevBrain
PDZD7	"bA108L7.8, DFNB57, FLJ23209, PDZK7"	ENSG00000186862	PDZ domain containing 7	ElevBrain
PEA15	"HMAT1, HUMMAT1H, MAT1, MAT1H, PEA-15, PED, PED-PEA15, PED/PEA15"	ENSG00000162734	Proliferation and apoptosis adaptor protein 15	ElevBrain
PEG3	"KIAA0287, ZKSCAN22, ZNF904, ZSCAN24"	ENSG00000198300	Paternally expressed 3	ElevBrain
PFN2		ENSG00000070087	Profilin 2	ElevBrain
PGBD5	"DKFZp761A0620, FLJ11413"	ENSG00000177614	PiggyBac transposable element derived 5	ElevBrain
PHACTR1	"dJ257A7.2, KIAA1733, RPEL1"	ENSG00000112137	Phosphatase and actin regulator 1	ElevBrain
PHLDB1	"FLJ00141, KIAA0638, LL5a"	ENSG00000019144	Pleckstrin homology like domain family B member 1	ElevBrain
PHLPP1	"KIAA0606, PHLPP, PLEKHE1, PPM3A, SCOP"	ENSG00000081913	PH domain and leucine rich repeat protein phosphatase 1	ElevBrain
PHOX2A	"ARIX, CFEOM2, FEOM2, PMX2A"	ENSG00000165462	Paired like homeobox 2a	ElevBrain
PHOX2B	"NBPhox, Phox2b, PMX2B"	ENSG00000109132	Paired like homeobox 2b	ElevBrain
PHYHIP	"DYRK1AP3, KIAA0273, PAHX-AP"	ENSG00000168490	Phytanoyl-CoA 2-hydroxylase interacting protein	ElevBrain
PHYHIPL	"Em:AC025038.1, KIAA1796"	ENSG00000165443	Phytanoyl-CoA 2-hydroxylase interacting protein like	ElevBrain
PI4KA	"PI4K-ALPHA, pi4K230, PIK4CA"	ENSG00000241973	Phosphatidylinositol 4-kinase alpha	ElevBrain
PIEZO2	"C18orf30, C18orf58, FAM38B, FAM38B2, FLJ23144, FLJ23403, FLJ34907, HsT748, HsT771"	ENSG00000154864	Piezo type mechanosensitive ion channel component 2	ElevBrain
PIFO	"C1orf88, FLJ23853, pitchfork"	ENSG00000173947	Primary cilia formation	ElevBrain
PIH1D3	"CXorf41, MGC35261, NYSAR97"	ENSG00000080572	PIH1 domain containing 3	ElevBrain
PIP4K2A	"PIP5K2A, PIP5KIIA, PIP5KIIalpha"	ENSG00000150867	Phosphatidylinositol-5-phosphate 4-kinase type 2 alpha	ElevBrain
PIRT		ENSG00000233670	Phosphoinositide interacting regulator of transient receptor potential channels	ElevBrain
PITPNM3	"ACKR6, CORD5, NIR1, RDGBA3"	ENSG00000091622	PITPNM family member 3	ElevBrain
PKD1	"PBP, Pc-1, TRPP1"	ENSG00000008710	"Polycystin 1, transient receptor potential channel interacting"	ElevBrain
